Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,season
New York Islanders*,84,36,36,12,84,0.5,282,264,0.25,0.03,,,,,19931994
Florida Panthers,84,33,34,17,83,0.494,233,233,0.02,0.02,,,,,19931994
Philadelphia Flyers,84,35,39,10,80,0.47600000000000003,294,314,-0.19,0.05,,,,,19931994
Tampa Bay Lightning,84,30,43,11,71,0.423,224,251,-0.26,0.06,,,,,19931994
Pittsburgh Penguins*,84,44,27,13,101,0.601,299,285,0.17,0.0,,,,,19931994
Boston Bruins*,84,42,29,13,97,0.5770000000000001,289,252,0.41,-0.03,,,,,19931994
Montreal Canadiens*,84,41,29,14,96,0.5710000000000001,283,248,0.39,-0.03,,,,,19931994
Buffalo Sabres*,84,43,32,9,95,0.565,282,218,0.72,-0.04,,,,,19931994
Quebec Nordiques,84,34,42,8,76,0.452,277,292,-0.16,0.02,,,,,19931994
Hartford Whalers,84,27,48,9,63,0.375,227,288,-0.68,0.04,,,,,19931994
Ottawa Senators,84,14,61,9,37,0.22,201,397,-2.22,0.12,,,,,19931994
Detroit Red Wings*,84,46,30,8,100,0.595,356,275,0.89,-0.08,,,,,19931994
Toronto Maple Leafs*,84,43,29,12,98,0.583,280,243,0.41,-0.03,,,,,19931994
Dallas Stars*,84,42,29,13,97,0.5770000000000001,286,265,0.2,-0.05,,,,,19931994
St. Louis Blues*,84,40,33,11,91,0.542,270,283,-0.16,0.0,,,,,19931994
Chicago Blackhawks*,84,39,36,9,87,0.518,254,240,0.15,-0.02,,,,,19931994
Winnipeg Jets,84,24,51,9,57,0.33899999999999997,245,344,-1.13,0.05,,,,,19931994
Calgary Flames*,84,42,29,13,97,0.5770000000000001,302,256,0.48,-0.07,,,,,19931994
Vancouver Canucks*,84,41,40,3,85,0.506,279,276,0.01,-0.03,,,,,19931994
San Jose Sharks*,84,33,35,16,82,0.488,252,265,-0.17,-0.02,,,,,19931994
Mighty Ducks of Anaheim,84,33,46,5,71,0.423,229,251,-0.27,-0.01,,,,,19931994
Los Angeles Kings,84,27,45,12,66,0.39299999999999996,294,322,-0.34,-0.01,,,,,19931994
Edmonton Oilers,84,25,45,14,64,0.381,261,305,-0.52,0.0,,,,,19931994
hiladelphia Flyers*,48,28,16,4,60,0.625,150,132,0.36,-0.01,,,,,19941995
Washington Capitals*,48,22,18,8,52,0.542,136,120,0.33,-0.01,,,,,19941995
New Jersey Devils*,48,22,18,8,52,0.542,136,121,0.3,-0.01,,,,,19941995
New York Rangers*,48,22,23,3,47,0.49,139,134,0.1,-0.01,,,,,19941995
Florida Panthers,48,20,22,6,46,0.479,115,127,-0.26,-0.01,,,,,19941995
Tampa Bay Lightning,48,17,28,3,37,0.385,120,144,-0.49,0.01,,,,,19941995
New York Islanders,48,15,28,5,35,0.365,126,158,-0.63,0.04,,,,,19941995
Quebec Nordiques*,48,30,13,5,65,0.677,185,134,1.01,-0.06,,,,,19941995
Pittsburgh Penguins*,48,29,16,3,61,0.635,181,158,0.44,-0.04,,,,,19941995
Boston Bruins*,48,27,18,3,57,0.594,150,127,0.46,-0.02,,,,,19941995
Buffalo Sabres*,48,22,19,7,51,0.531,130,119,0.2,-0.03,,,,,19941995
Hartford Whalers,48,19,24,5,43,0.44799999999999995,127,141,-0.27,0.02,,,,,19941995
Montreal Canadiens,48,18,23,7,43,0.44799999999999995,125,148,-0.42,0.06,,,,,19941995
Ottawa Senators,48,9,34,5,23,0.24,117,174,-1.12,0.07,,,,,19941995
Detroit Red Wings*,48,33,11,4,70,0.7290000000000001,180,117,1.24,-0.08,,,,,19941995
St. Louis Blues*,48,28,15,5,61,0.635,178,135,0.84,-0.06,,,,,19941995
Chicago Blackhawks*,48,24,19,5,53,0.552,156,115,0.8,-0.05,,,,,19941995
Toronto Maple Leafs*,48,21,19,8,50,0.521,135,146,-0.19,0.04,,,,,19941995
Dallas Stars*,48,17,23,8,42,0.43799999999999994,136,135,0.07,0.05,,,,,19941995
Winnipeg Jets,48,16,25,7,39,0.406,157,177,-0.33,0.08,,,,,19941995
Calgary Flames*,48,24,17,7,55,0.573,163,135,0.49,-0.09,,,,,19941995
Vancouver Canucks*,48,18,18,12,48,0.5,153,148,0.06,-0.04,,,,,19941995
San Jose Sharks*,48,19,25,4,42,0.43799999999999994,129,161,-0.66,0.01,,,,,19941995
Los Angeles Kings,48,16,23,9,41,0.42700000000000005,142,174,-0.65,0.02,,,,,19941995
Edmonton Oilers,48,17,27,4,38,0.396,136,183,-0.92,0.06,,,,,19941995
Mighty Ducks of Anaheim,48,16,27,5,37,0.385,125,164,-0.77,0.05,,,,,19941995
Philadelphia Flyers*,82,45,24,13,103,0.628,282,208,0.88,-0.03,,,,,19951996
New York Rangers*,82,41,27,14,96,0.585,272,237,0.43,0.0,,,,,19951996
Florida Panthers*,82,41,31,10,92,0.561,254,234,0.27,0.02,,,,,19951996
Washington Capitals*,82,39,32,11,89,0.5429999999999999,234,204,0.38,0.02,,,,,19951996
Tampa Bay Lightning*,82,38,32,12,88,0.537,238,248,-0.07,0.05,,,,,19951996
New Jersey Devils,82,37,33,12,86,0.524,215,202,0.2,0.04,,,,,19951996
New York Islanders,82,22,50,10,54,0.32899999999999996,229,315,-0.94,0.11,,,,,19951996
Pittsburgh Penguins*,82,49,29,4,102,0.622,362,284,0.9,-0.05,,,,,19951996
Boston Bruins*,82,40,31,11,91,0.555,282,269,0.17,0.01,,,,,19951996
Montreal Canadiens*,82,40,32,10,90,0.5489999999999999,265,248,0.2,-0.01,,,,,19951996
Hartford Whalers,82,34,39,9,77,0.47,237,259,-0.22,0.05,,,,,19951996
Buffalo Sabres,82,33,42,7,73,0.445,247,262,-0.16,0.03,,,,,19951996
Ottawa Senators,82,18,59,5,41,0.25,191,291,-1.12,0.1,,,,,19951996
Detroit Red Wings*,82,62,13,7,131,0.799,325,181,1.64,-0.11,,,,,19951996
Chicago Blackhawks*,82,40,28,14,94,0.573,273,220,0.61,-0.04,,,,,19951996
Toronto Maple Leafs*,82,34,36,12,80,0.488,247,252,-0.07,0.0,,,,,19951996
St. Louis Blues*,82,32,34,16,80,0.488,219,248,-0.35,0.0,,,,,19951996
Winnipeg Jets*,82,36,40,6,78,0.47600000000000003,275,291,-0.18,0.02,,,,,19951996
Dallas Stars,82,26,42,14,66,0.402,227,280,-0.6,0.05,,,,,19951996
Colorado Avalanche*,82,47,25,10,104,0.634,326,240,0.93,-0.12,,,,,19951996
Calgary Flames*,82,34,37,11,79,0.48200000000000004,241,240,-0.04,-0.05,,,,,19951996
Vancouver Canucks*,82,32,35,15,79,0.48200000000000004,278,278,-0.05,-0.05,,,,,19951996
Mighty Ducks of Anaheim,82,35,39,8,78,0.47600000000000003,234,247,-0.19,-0.03,,,,,19951996
Edmonton Oilers,82,30,44,8,68,0.415,240,304,-0.78,0.0,,,,,19951996
Los Angeles Kings,82,24,40,18,66,0.402,256,302,-0.59,-0.03,,,,,19951996
San Jose Sharks,82,20,55,7,47,0.287,252,357,-1.25,0.03,,,,,19951996
New Jersey Devils*,82,45,23,14,104,0.634,231,182,0.57,-0.03,,,,,19961997
Philadelphia Flyers*,82,45,24,13,103,0.628,274,217,0.67,-0.03,,,,,19961997
Florida Panthers*,82,35,28,19,89,0.5429999999999999,221,201,0.25,0.0,,,,,19961997
New York Rangers*,82,38,34,10,86,0.524,258,231,0.33,0.01,,,,,19961997
Washington Capitals,82,33,40,9,75,0.457,214,231,-0.17,0.04,,,,,19961997
Tampa Bay Lightning,82,32,40,10,74,0.451,217,247,-0.33,0.04,,,,,19961997
New York Islanders,82,29,41,12,70,0.42700000000000005,240,250,-0.1,0.02,,,,,19961997
Buffalo Sabres*,82,40,30,12,92,0.561,237,208,0.31,-0.04,,,,,19961997
Pittsburgh Penguins*,82,38,36,8,84,0.512,285,280,0.04,-0.02,,,,,19961997
Ottawa Senators*,82,31,36,15,77,0.47,226,234,-0.11,-0.02,,,,,19961997
Montreal Canadiens*,82,31,36,15,77,0.47,249,276,-0.34,-0.01,,,,,19961997
Hartford Whalers,82,32,39,11,75,0.457,226,256,-0.37,0.0,,,,,19961997
Boston Bruins,82,26,47,9,61,0.37200000000000005,234,300,-0.78,0.02,,,,,19961997
Dallas Stars*,82,48,26,8,104,0.634,252,198,0.64,-0.02,,,,,19961997
Detroit Red Wings*,82,38,26,18,94,0.573,253,197,0.66,-0.03,,,,,19961997
Phoenix Coyotes*,82,38,37,7,83,0.506,240,243,-0.02,0.02,,,,,19961997
St. Louis Blues*,82,36,35,11,83,0.506,236,239,-0.03,0.01,,,,,19961997
Chicago Blackhawks*,82,34,35,13,81,0.494,223,210,0.18,0.02,,,,,19961997
Toronto Maple Leafs,82,30,44,8,68,0.415,230,273,-0.48,0.05,,,,,19961997
Colorado Avalanche*,82,49,24,9,107,0.652,277,205,0.81,-0.07,,,,,19961997
Mighty Ducks of Anaheim*,82,36,33,13,85,0.518,245,233,0.12,-0.03,,,,,19961997
Edmonton Oilers*,82,36,37,9,81,0.494,252,247,0.03,-0.03,,,,,19961997
Vancouver Canucks,82,35,40,7,77,0.47,257,273,-0.2,-0.01,,,,,19961997
Calgary Flames,82,32,41,9,73,0.445,214,239,-0.29,0.02,,,,,19961997
Los Angeles Kings,82,28,43,11,67,0.409,214,268,-0.62,0.04,,,,,19961997
San Jose Sharks,82,27,47,8,62,0.37799999999999995,211,278,-0.78,0.03,,,,,19961997
New Jersey Devils*,82,48,23,11,107,0.652,225,166,0.66,-0.06,,,,,19971998
Philadelphia Flyers*,82,42,29,11,95,0.579,242,193,0.53,-0.07,,,,,19971998
Washington Capitals*,82,40,30,12,92,0.561,219,202,0.17,-0.04,,,,,19971998
New York Islanders,82,30,41,11,71,0.433,212,225,-0.15,0.0,,,,,19971998
New York Rangers,82,25,39,18,68,0.415,197,231,-0.41,0.0,,,,,19971998
Florida Panthers,82,24,43,15,63,0.384,203,256,-0.62,0.03,,,,,19971998
Tampa Bay Lightning,82,17,55,10,44,0.268,151,269,-1.37,0.07,,,,,19971998
Pittsburgh Penguins*,82,40,24,18,98,0.598,228,188,0.48,-0.01,,,,,19971998
Boston Bruins*,82,39,30,13,91,0.555,221,194,0.33,0.0,,,,,19971998
Buffalo Sabres*,82,36,29,17,89,0.5429999999999999,211,187,0.29,0.0,,,,,19971998
Montreal Canadiens*,82,37,32,13,87,0.53,235,208,0.33,0.0,,,,,19971998
Ottawa Senators*,82,34,33,15,83,0.506,193,200,-0.06,0.02,,,,,19971998
Carolina Hurricanes,82,33,41,8,74,0.451,200,219,-0.2,0.04,,,,,19971998
Dallas Stars*,82,49,22,11,109,0.665,242,167,0.88,-0.03,,,,,19971998
Detroit Red Wings*,82,44,23,15,103,0.628,250,196,0.64,-0.02,,,,,19971998
St. Louis Blues*,82,45,29,8,98,0.598,256,204,0.63,0.0,,,,,19971998
Phoenix Coyotes*,82,35,35,12,82,0.5,224,227,0.0,0.04,,,,,19971998
Chicago Blackhawks,82,30,39,13,73,0.445,192,199,-0.06,0.03,,,,,19971998
Toronto Maple Leafs,82,30,43,9,69,0.42100000000000004,194,237,-0.46,0.07,,,,,19971998
Colorado Avalanche*,82,39,26,17,95,0.579,231,205,0.27,-0.05,,,,,19971998
Los Angeles Kings*,82,38,33,11,87,0.53,227,225,-0.01,-0.03,,,,,19971998
Edmonton Oilers*,82,35,37,10,80,0.488,215,224,-0.13,-0.02,,,,,19971998
San Jose Sharks*,82,34,38,10,78,0.47600000000000003,210,216,-0.1,-0.03,,,,,19971998
Calgary Flames,82,26,41,15,67,0.409,217,252,-0.42,0.01,,,,,19971998
Mighty Ducks of Anaheim,82,26,43,13,65,0.396,205,261,-0.66,0.02,,,,,19971998
Vancouver Canucks,82,25,43,14,64,0.39,224,273,-0.58,0.02,,,,,19971998
New Jersey Devils*,82,47,24,11,105,0.64,248,196,0.62,-0.02,,,,,19981999
Philadelphia Flyers*,82,37,26,19,93,0.5670000000000001,231,196,0.43,0.0,,,,,19981999
Pittsburgh Penguins*,82,38,30,14,90,0.5489999999999999,242,225,0.21,0.0,,,,,19981999
New York Rangers,82,33,38,11,77,0.47,217,227,-0.08,0.04,,,,,19981999
New York Islanders,82,24,48,10,58,0.354,194,244,-0.55,0.06,,,,,19981999
Ottawa Senators*,82,44,23,15,103,0.628,239,179,0.73,0.0,,,,,19981999
Toronto Maple Leafs*,82,45,30,7,97,0.591,268,231,0.46,0.01,,,,,19981999
Boston Bruins*,82,39,30,13,91,0.555,214,181,0.4,0.0,,,,,19981999
Buffalo Sabres*,82,37,28,17,91,0.555,207,175,0.41,0.02,,,,,19981999
Montreal Canadiens,82,32,39,11,75,0.457,184,209,-0.26,0.05,,,,,19981999
Carolina Hurricanes*,82,34,30,18,86,0.524,210,202,0.1,0.0,,,,,19981999
Florida Panthers,82,30,34,18,78,0.47600000000000003,210,228,-0.21,0.01,,,,,19981999
Washington Capitals,82,31,45,6,68,0.415,200,218,-0.21,0.01,,,,,19981999
Tampa Bay Lightning,82,19,54,9,47,0.287,179,292,-1.28,0.09,,,,,19981999
Detroit Red Wings*,82,43,32,7,93,0.5670000000000001,245,202,0.46,-0.06,,,,,19981999
St. Louis Blues*,82,37,32,13,87,0.53,237,209,0.29,-0.05,,,,,19981999
Chicago Blackhawks,82,29,41,12,70,0.42700000000000005,202,248,-0.55,0.01,,,,,19981999
Nashville Predators,82,28,47,7,63,0.384,190,261,-0.85,0.02,,,,,19981999
Colorado Avalanche*,82,44,28,10,98,0.598,239,205,0.34,-0.08,,,,,19981999
Edmonton Oilers*,82,33,37,12,78,0.47600000000000003,230,226,0.02,-0.03,,,,,19981999
Calgary Flames,82,30,40,12,72,0.439,211,234,-0.3,-0.02,,,,,19981999
Vancouver Canucks,82,23,47,12,58,0.354,192,258,-0.77,0.04,,,,,19981999
Dallas Stars*,82,51,19,12,114,0.695,236,168,0.76,-0.07,,,,,19981999
Phoenix Coyotes*,82,39,31,12,90,0.5489999999999999,205,197,0.08,-0.02,,,,,19981999
Mighty Ducks of Anaheim*,82,35,34,13,83,0.506,215,206,0.1,-0.01,,,,,19981999
San Jose Sharks*,82,31,33,18,80,0.488,196,191,0.04,-0.02,,,,,19981999
Los Angeles Kings,82,32,45,5,69,0.42100000000000004,189,222,-0.38,0.03,,,,,19981999
Philadelphia Flyers*,82,45,22,15,105,0.64,237,179,0.58,-0.13,0.622,,,,19992000
New Jersey Devils*,82,45,24,13,103,0.628,251,203,0.46,-0.13,0.598,,,,19992000
Pittsburgh Penguins*,82,37,31,14,88,0.537,241,236,-0.03,-0.09,0.5,,,,19992000
New York Rangers,82,29,38,15,73,0.445,218,246,-0.39,-0.05,0.42700000000000005,,,,19992000
New York Islanders,82,24,48,10,58,0.354,194,275,-1.02,-0.03,0.348,,,,19992000
Toronto Maple Leafs*,82,45,27,10,100,0.61,246,222,0.25,-0.05,0.591,,,,19992000
Ottawa Senators*,82,41,28,13,95,0.579,244,210,0.3,-0.12,0.5670000000000001,,,,19992000
Buffalo Sabres*,82,35,32,15,85,0.518,213,204,0.01,-0.1,0.494,,,,19992000
Montreal Canadiens,82,35,34,13,83,0.506,196,194,-0.06,-0.09,0.48200000000000004,,,,19992000
Boston Bruins,82,24,33,25,73,0.445,210,248,-0.52,-0.06,0.409,,,,19992000
Washington Capitals*,82,44,24,14,102,0.622,227,194,0.28,-0.13,0.61,,,,19992000
Florida Panthers*,82,43,27,12,98,0.598,244,209,0.28,-0.15,0.561,,,,19992000
Carolina Hurricanes,82,37,35,10,84,0.512,217,216,-0.1,-0.11,0.512,,,,19992000
Tampa Bay Lightning,82,19,47,16,54,0.32899999999999996,204,310,-1.34,-0.05,0.287,,,,19992000
Atlanta Thrashers,82,14,57,11,39,0.23800000000000002,170,313,-1.75,0.0,0.213,,,,19992000
St. Louis Blues*,82,51,19,12,114,0.695,248,165,1.08,0.07,0.6890000000000001,,,,19992000
Detroit Red Wings*,82,48,22,12,108,0.659,278,210,0.88,0.05,0.6459999999999999,,,,19992000
Chicago Blackhawks,82,33,37,12,78,0.47600000000000003,242,245,0.1,0.13,0.46299999999999997,,,,19992000
Nashville Predators,82,28,40,14,70,0.42700000000000005,199,240,-0.36,0.14,0.384,,,,19992000
Colorado Avalanche*,82,42,28,12,96,0.585,233,201,0.46,0.07,0.579,,,,19992000
Edmonton Oilers*,82,32,26,24,88,0.537,226,212,0.22,0.05,0.488,,,,19992000
Vancouver Canucks,82,30,29,23,83,0.506,227,237,-0.01,0.11,0.457,,,,19992000
Calgary Flames,82,31,36,15,77,0.47,211,256,-0.42,0.13,0.439,,,,19992000
Dallas Stars*,82,43,23,16,102,0.622,211,184,0.41,0.08,0.585,,,,19992000
Los Angeles Kings*,82,39,27,16,94,0.573,245,228,0.3,0.09,0.5489999999999999,,,,19992000
Phoenix Coyotes*,82,39,31,12,90,0.5489999999999999,232,228,0.15,0.1,0.524,,,,19992000
San Jose Sharks*,82,35,30,17,87,0.53,225,214,0.23,0.1,0.488,,,,19992000
Mighty Ducks of Anaheim,82,34,33,15,83,0.506,217,227,0.02,0.14,0.488,,,,19992000
New Jersey Devils*,82,48,19,15,111,0.677,295,195,1.1,-0.12,0.659,,,,20002001
Philadelphia Flyers*,82,43,25,14,100,0.61,240,207,0.33,-0.07,0.591,,,,20002001
Pittsburgh Penguins*,82,42,28,12,96,0.585,281,256,0.23,-0.07,0.5670000000000001,,,,20002001
New York Rangers,82,33,43,6,72,0.439,250,290,-0.53,-0.04,0.433,,,,20002001
New York Islanders,82,21,51,10,52,0.317,185,268,-1.02,0.0,0.299,,,,20002001
Ottawa Senators*,82,48,21,13,109,0.665,274,205,0.74,-0.1,0.64,,,,20002001
Buffalo Sabres*,82,46,30,6,98,0.598,218,184,0.35,-0.07,0.591,,,,20002001
Toronto Maple Leafs*,82,37,29,16,90,0.5489999999999999,232,207,0.25,-0.05,0.518,,,,20002001
Boston Bruins,82,36,30,16,88,0.537,227,249,-0.27,0.0,0.488,,,,20002001
Montreal Canadiens,82,28,40,14,70,0.42700000000000005,206,232,-0.35,-0.03,0.39,,,,20002001
Washington Capitals*,82,41,27,14,96,0.585,233,211,0.16,-0.1,0.561,,,,20002001
Carolina Hurricanes*,82,38,32,12,88,0.537,212,225,-0.24,-0.08,0.518,,,,20002001
Florida Panthers,82,22,38,22,66,0.402,200,246,-0.6,-0.04,0.348,,,,20002001
Atlanta Thrashers,82,23,45,14,60,0.366,211,289,-0.99,-0.04,0.354,,,,20002001
Tampa Bay Lightning,82,24,47,11,59,0.36,201,280,-0.98,-0.01,0.32899999999999996,,,,20002001
Detroit Red Wings*,82,49,20,13,111,0.677,253,202,0.63,0.01,0.652,,,,20002001
St. Louis Blues*,82,43,22,17,103,0.628,249,195,0.67,0.01,0.598,,,,20002001
Nashville Predators,82,34,36,12,80,0.488,186,200,-0.11,0.06,0.47,,,,20002001
Chicago Blackhawks,82,29,40,13,71,0.433,210,246,-0.36,0.08,0.402,,,,20002001
Columbus Blue Jackets,82,28,39,15,71,0.433,190,233,-0.44,0.08,0.396,,,,20002001
Colorado Avalanche*,82,52,16,14,118,0.72,270,192,0.95,0.0,0.695,,,,20002001
Edmonton Oilers*,82,39,28,15,93,0.5670000000000001,243,222,0.32,0.07,0.5489999999999999,,,,20002001
Vancouver Canucks*,82,36,28,18,90,0.5489999999999999,239,238,0.08,0.07,0.506,,,,20002001
Calgary Flames,82,27,36,19,73,0.445,197,236,-0.37,0.11,0.42100000000000004,,,,20002001
Minnesota Wild,82,25,39,18,68,0.415,168,210,-0.42,0.09,0.384,,,,20002001
Dallas Stars*,82,48,24,10,106,0.6459999999999999,241,187,0.68,0.02,0.634,,,,20002001
San Jose Sharks*,82,40,27,15,95,0.579,217,192,0.36,0.06,0.561,,,,20002001
Los Angeles Kings*,82,38,28,16,92,0.561,252,228,0.32,0.03,0.5429999999999999,,,,20002001
Phoenix Coyotes,82,35,27,20,90,0.5489999999999999,214,212,0.07,0.05,0.53,,,,20002001
Mighty Ducks of Anaheim,82,25,41,16,66,0.402,188,245,-0.6,0.1,0.37200000000000005,,,,20002001
Philadelphia Flyers*,82,42,27,13,97,0.591,234,192,0.41,-0.11,0.573,,,,20012002
New York Islanders*,82,42,28,12,96,0.585,239,220,0.15,-0.08,0.561,,,,20012002
New Jersey Devils*,82,41,28,13,95,0.579,205,187,0.15,-0.07,0.555,,,,20012002
New York Rangers,82,36,38,8,80,0.488,227,258,-0.43,-0.05,0.46299999999999997,,,,20012002
Pittsburgh Penguins,82,28,41,13,69,0.42100000000000004,198,249,-0.66,-0.04,0.39,,,,20012002
Boston Bruins*,82,43,24,15,101,0.616,236,201,0.33,-0.09,0.561,,,,20012002
Toronto Maple Leafs*,82,43,25,14,100,0.61,249,207,0.44,-0.08,0.585,,,,20012002
Ottawa Senators*,82,39,27,16,94,0.573,243,208,0.36,-0.07,0.53,,,,20012002
Montreal Canadiens*,82,36,31,15,87,0.53,207,209,-0.1,-0.08,0.512,,,,20012002
Buffalo Sabres,82,35,35,12,82,0.5,213,200,0.09,-0.07,0.494,,,,20012002
Carolina Hurricanes*,82,35,26,21,91,0.555,217,217,-0.09,-0.09,0.524,,,,20012002
Washington Capitals,82,36,33,13,85,0.518,228,240,-0.25,-0.1,0.506,,,,20012002
Tampa Bay Lightning,82,27,40,15,69,0.42100000000000004,178,219,-0.58,-0.08,0.396,,,,20012002
Florida Panthers,82,22,44,16,60,0.366,180,250,-0.92,-0.07,0.32899999999999996,,,,20012002
